** Object ID ,** URI,Collection,Series,Sub Series,Container 1,Container 2,Source,** Repository,** Title,** Date,** Date – online search,Dimensions,** Extent,** Creator,** Scope and content,Location,** Access,Publisher,Type,Format,** Language,Rights,** Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,
AT-001-011,,AT-001,0,0,0,0,Artefacts - Siddiqi Lab,Archives at NCBS,Vertical electrode puller - Narishige,Unknown,0,30 x 30 x 86 cm,NA,Narishige,Vertical Electrode Puller. Narishige (manufacturing company). Used for the preparation of fine needles in developmental biology. It is a manual system with still functioning gears to hold the needle edges. People who have worked on these setups particularly remember the ‘thuds’ it would make when the task is done and the finality associated with that thud. Still sought after but not in production anymore.,Bangalore,Unrestricted,Archives at NCBS,Artefact,"Artefact, mixed media",NA,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Electrode puller,Scientific process,Narishige,Developmental biology,,,
MS-001_1_3_16_4_P_0001,,MS-001,1,3,16,4,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from IIT Bombay to Siddiqi conferring the degree of Doctor of Science ,9/8/2006,2006,11x8.5 inches,1p,"Misra, Ashok","Letter from Ashok Misra to Siddiqi stating that the proposal for conferring a Doctor of Science (Honoris Causa) by IIT, Bombay to Siddiqi has been approved. The letter invites him and Mrs. Siddiqi to the convocation ceremony.",Mumbai,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,"IIT, Bombay",Honorary Degree,,,,,
MS-001_1_3_16_5_P_0001,,MS-001,1,3,16,5,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Mushirul Hasan (Jamia Millia Islamia) to Siddiqi regarding Honorary Doctor of Letters,13/09/2006,2006,11x8.5 inches,1p,"Hasan, Mushirul",Letter from Mushirul Hasan regarding conferring Siddiqi the Honoris Causa (Degree of Letters) by the Jamia Millia Islamia University,New Delhi,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Jamia Millia Islamia,Honorary Degree,,,,,
MS-001_1_3_17_10_0001-0005,,MS-001,1,3,17,10,Siddiqi Papers - Correspondence ,Archives at NCBS,Molecular biology of learning and memory -article to appear in INSA journal,1993,1993,11x8.5 inches,5p,Publications and Information Directorate,"Notification and corrections of Siddiqi's paper on Molecular biology of Learning and memory scheduled to be printed in the INSA Journal Proc Pt. B, December 1993. ",New Delhi,Unrestricted,Archives at NCBS,Memo and article,Printed page ,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,INSA ,Molecular biology,Learning,Memory,,,
MS-001_1_3_17_15_0002-0005,,MS-001,1,3,17,15,Siddiqi Papers - Correspondence ,Archives at NCBS,Siddiqi's note on the academic and administrative structures of NCBS,15/05/1996,1996,11x8.5 inches,4p,"Siddiqi, Obaid",Siddiqi's Report on the existing and future structure of administration and academics at NCBS. He explains the function and contribution of each of the different bodies in the structure.,Mumbai,Unrestricted,Archives at NCBS,Report,Printed page ,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,NCBS,Administration,Academics,,,,
MS-001_1_3_17_15_P_0001,,MS-001,1,3,17,15,Siddiqi Papers - Correspondence ,Archives at NCBS,Siddiqi's letter to Virendra Singh regarding creation of a separate Faculty for NCBS,15/05/1996,1996,11x8.5 inches,1p,"Siddiqi, Obaid",Siddiqi's letter to Virendra Singh regarding creation of a separate Faculty for NCBS. He says it is important that the academic and administrative structure of NCBS is formed carefully so that NCBS develops the right way. ,Mumbai,Unrestricted,Archives at NCBS,Letter,Printed page ,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,NCBS,Administration,Academics,,,,
MS-001_1_3_17_16_0001-0015,,MS-001,1,3,17,16,Siddiqi Papers - Correspondence ,Archives at NCBS,Elsevier's The Trends guide to the internet,1996,1996,11x8.5 inches,15p,Elsevier,"Elsevier's The Trends Guide to the internet was a guide published in 1996 when the internet was very new. It explains the various aspects including history of the internet, how to connect, internet jargon, email etc. ",Unknown,Unrestricted,Peter Desmond,Magazine,Typeset on paper ,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Elsevier,Internet,,,,,
MS-001_1_3_17_48_0001-0002,,MS-001,1,3,17,48,Siddiqi Papers -- Correspondence,Archives at NCBS,"Kumar, Gauri — Ministry of Home Affairs — Request for Nominations for the Padma Awards",Jul 22 2013,2013,8.5x11.5 inches,2p,"Kumar, G.","Gauri Kumar, Secretary (Border Management), Ministry of Home Affairs, Government of India, writes to O. Siddiqi, requesting his nominations for the Padma Awards. Kumar states it is conventional practice to get nominations from past award winners (Siddiqi received the Padma Shri and Padma Vibhushan Awards). It is the last recorded letter to Siddiqi though it is unlikely he read it since he had an accident on Jul 21 2013 and passed away on Jul 26 2013.",New Delhi,Unrestricted,Archives at NCBS,Letter,Computer print,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Padma Awards,Nominations,,,,,
MS-001_1_3_17_55_0001-0003,,MS-001,1,3,17,55,Siddiqi Papers - Correspondence ,Archives at NCBS,Card from students of Bluebells school,Undated,0,3x5 inches,3p,Bluebells School students - IX and X standard ,"A card from the students of the IX and X standard of Bluebells school, thanking Siddiqi after a talk.",Unknown,Unrestricted,Archives at NCBS,Card,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Bluebells school,Greeting card,,,,,
MS-001_1_3_5_1_0001-0006,,MS-001,1,3,5,1,Siddiqi Papers - Correspondence ,Archives at NCBS,Handwritten notes for lab furniture and drawings,Undated,0,11x8.5 inches,6p,"Siddiqi, Obaid",Handwritten notes and drawings of furniture for Siddiqi's lab ,Unknown,Unrestricted,Archives at NCBS,Handwritten Page,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Furniture,,,,,,
MS-001_1_3_5_11_0025-0026,,MS-001,1,3,5,11,Siddiqi Papers - Correspondence ,Archives at NCBS,Siddiqi's application form for Visiting Fellowship at Clare hall,17/05/1993,1993,11x8.5 inches,2p,"Siddiqi, Obaid",Siddiqi's application form for Visiting Fellowship at Clare Hall,Unknown,Unrestricted,Archives at NCBS,Application Form,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Clare Hall,Visiting Fellowship,,,,,
MS-001_1_3_5_11_0045-0047,,MS-001,1,3,5,11,Siddiqi Papers - Correspondence ,Archives at NCBS,"Handwritten details of travel, meetings and expenses of the Cold Spring Harbor meeting on Neurobiology of Drosophila and his visit to west coast and east coast.",1995,1995,11x8.5 inches,3p,"Siddiqi, Obaid","Handwritten travel, meetings and expense details of Cold Spring Harbor Meeting on Neurobiology of Drosophila and visit to west and east coasts. ",Unknown,Unrestricted,Archives at NCBS,Handwritten Page,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Cold Spring Harbor,Neurobiology,,,,,
MS-001_1_3_5_11_P_0002,,MS-001,1,3,5,11,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter from Michael Ashburner to Siddiqi and Asiya, suggesting Siddiqi apply for a Visiting Fellowship at Clare Hall",4/3/1993,1993,11x8.5 inches,1p,"Ashburner, Michael","Letter from Michael Ashburner to Siddiqi, pleased to know that Siddiqi and Asiya are planning a sabbatical in Cambridge, suggesting Siddiqi apply for a Visiting Fellowship at Clare hall. Michael explains that the Visiting fellowship application would need referees and he has contacted Michael Bate, Pete Lawrence and G. Pontecorvo. ",Cambridge,Unrestricted,Archives at NCBS,Handwritten Page,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Clare Hall,Visiting Fellowship,,,,,
MS-001_1_3_5_11_P_0009,,MS-001,1,3,5,11,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Anthony Low to Siddiqi confirming the offer of Visiting Fellowship to Siddiqi at Clare hall,10/6/1993,1993,11x8.5 inches,1p,"Low, Anthony","Letter from Anthony Low confirming Siddiqi's Visiting Fellowship. Low mentions that although there are no duties of a visiting Fellow, they're expected to engage in the activities of the college by spending 12 weeks at the college in order to guide and advise graduate students.",Cambridge,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Clare Hall,Visiting Fellowship,,,,,
MS-001_1_3_5_11_P_0043,,MS-001,1,3,5,11,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Siddiqi to Virendra Singh requesting approval for his sabbatical at Clare hall,15/02/1994,1994,11x8.5 inches,1p,"Siddiqi, Obaid","Siddiqi's letter to Virendra Singh, Director of TIFR, requesting approval for his sabbatical in Cambridge for 6 months. He says the architectural designs of NCBS will be scrutinized by Department of Atomic Energy in his absence. ",Mumbai,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Clare Hall,NCBS,,,,,
MS-001_1_3_5_11_P_0048,,MS-001,1,3,5,11,Siddiqi Papers - Correspondence ,Archives at NCBS,Sabbatical to Cambridge and Visit to Germany and Switzerland - Handwritten travel plan ,1994,1994,11x8.5 inches,1p,"Siddiqi, Obaid",Handwritten notes of travel plans for a visit to Germany and Switzerland when Siddiqi was at Cambridge on a sabbatical.,Unknown,Unrestricted,Archives at NCBS,Handwritten Page,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Clare Hall,,,,,,
MS-001_1_3_5_13_P_0005,,MS-001,1,3,5,13,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter specifying that the equipment Siddiqi will be taking with him are of no commercial value,30/03/1994,1994,11x8.5 inches,1p,Registrar at TIFR,Certificate specifying that the equipment Siddiqi is required to take to Cambridge are of no commercial value and were built at TIFR. ,Mumbai,Unrestricted,Archives at NCBS,Letter,Typewritten on Paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Equipment,Cambridge,TIFR,Sabbatical,,,
MS-001_1_3_5_14_0001-0003,,MS-001,1,3,5,14,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter approving financial support for Neurogenetic analysis of chemosensory reception in Drosophila melanogaster,22/05/1994,1994,11x8.5 inches,3p,"Kaur, Inderjeet",Letter from the Department of Biotechnology under the Ministry of Science and Technology regarding the approval of a sum of 63.77 lakh rupees as financial support for the project on neurogenetic analysis of chemosensory reception in Drosophila melanogaster.,New Delhi,Unrestricted,Archives at NCBS,Letter,Typewritten on Paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Chemosensory Reception,Drosophila Melanogaster,DST,DBT,,,
MS-001_1_3_5_19_P_0008,,MS-001,1,3,5,19,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Yu Lu to Siddiqi inviting him to act as Director of a course at ICTP,15/04/1998,1998,11x8.5 inches,1p,"Lu, YU",Letter from International Centre for Theoretical Physics to Siddiqi inviting him to act as the Director for a course on Neurophysics. It also has the details on expenses Siddiqi is entitled to. ,Trieste,Unrestricted,Archives at NCBS,Letter ,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Neurophysics,ICTP,"Lu, Yu",,,,
MS-001_1_3_5_2_0001-0003,,MS-001,1,3,5,2,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter from S. N. Narasinga Rao to Registrar, TIFR, regarding the poor conditions of and repairs needed for Siddiqi's lab.",9/10/1989,1989,11x8.5 inches,3p,"Narasinga Rao, S. N. ",Letter from the Director of the construction and services group at TIFR to the Registrar regarding the poor working conditions in Siddiqi's lab which is hampering research work. He also says that the required repairs and requirements cannot be met and that the Molecular Biology Lab be shifted elsewhere. ,Mumbai,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,MBU,,,,,,
MS-001_1_3_5_2_P_0006,,MS-001,1,3,5,2,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Siddiqi to Virendra Singh with comments on Narasinga Rao's suggestion to move the Molecular Biology Lab,19/02/1990,1990,11x8.5 inches,1p,"Siddiqi, Obaid","Letter from Siddiqi to the director of TIFR, Virendra Singh regarding Narasinga Rao's suggestion of moving the Molecular biology Lab",Mumbai,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,MBU,Laboratory -- Maintenance,,,,,
MS-001_1_3_5_20_0001-0004,,MS-001,1,3,5,20,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Siddiqi to G. Govil regarding the age of staff and faculty during appointments and promotions ,19/02/1997,1997,11x8.5 inches,4p,"Siddiqi, Obaid",Letter from Siddiqi to the dean of the physics faculty at TIFR regarding the age of staff and faculty at the time of appointment and promotion. Siddiqi mentions that there are no appointments made at the level of Readers and Associate Professors. The letter encloses a page of graphs and 2 pages of related data. ,Mumbai,Unrestricted,Archives at NCBS,Letter and Report,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,TIFR,,,,,,
MS-001_1_3_5_22_P_0002,,MS-001,1,3,5,22,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter to Virendra Singh from K VijayRaghavan regarding financial allocation to NCBS,12/3/1997,1997,11x8.5 inches,1p,"VijayRaghavan, K",Letter from K. VijayRaghavan to Virendra Singh regarding the money allotted for NCBS. He says that the Atomic Energy Commission approved the escalated cost of project (NCBS) to 33 crores from 18 crores. He also says that a lower allocation will result in major construction delays and further escalated costs and that the currently allotted 5.5 crores for both construction and research projects is unacceptable. VijayRaghavan also requests that NCBS be represented in all Internal Working Group meetings to avoid confusion and mismanagement. ,Bangalore,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,NCBS,TIFR,,,,,
MS-001_1_3_5_22_P_0005,,MS-001,1,3,5,22,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter to Virendra Singh from K VijayRaghavan regarding dual appointments of NCBS and TIFR,21/03/1997,1997,11x8.5 inches,1p,"VijayRaghavan, K","Letter from K. VijayRaghavan to Virendra Singh requesting for continuation of his dual appointment and more dual appointments of NCBS and TIFR, adding that it will strengthen the bonds between NCBS and TIFR ",Bangalore,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,NCBS ,TIFR,,,,,
MS-001_1_3_5_27_P_0008,,MS-001,1,3,5,27,Siddiqi Papers - Correspondence ,Archives at NCBS,Fingerprints of Stagnation - a magazine article on the problems in TIFR,7/5/1997,1997,11x8.5 inches,1p,"Annuncio, Charubala","An article in Outlook magazine which talks about the report of the Porter Committee's study of TIFR, issues regarding transparency, funding, promotions, nepotism and bias amongst many others. It alleges that senior scientists in the Institute have a 'stranglehold' and are not willing appoint new people. ",Unknown,Unrestricted,Outlook magazine,Magazine article ,Typeset on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,TIFR ,"Siddiqi, Obaid",Porter committee,,,,
MS-001_1_3_5_35_P_0001,,MS-001,1,3,5,35,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter from Siddiqi to Godrej, S. P. about funds for Centre for Learning (CfL)",29/06/1998,1998,11x8.5 inches,1p,"Siddiqi, Obaid","Letter from Siddiqi to S. P. Godrej regarding aid for Centre for Learning (CfL), a school in Bangalore. Siddiqi mentions that CfL has 'enlightened and progressive' ideas of education which are different from usual schools. ",Mumbai,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Education,Centre for Learning ,,,,,
MS-001_1_3_5_36_P_0001,,MS-001,1,3,5,36,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Atta-ur-Rahman to Siddiqi about possibilities to collaborate with HEL Research Institute for Chemistry,26/08/1998,1998,11x8.5 inches,1p,Atta-ur-Rahman,Letter from Atta-ur-Rahman to Siddiqi enquiring about Siddiqi's interest in assisting in establishing a molecular biology research programme at the H.E.J Research Institute of Chemistry in Karachi. He specifies that it would involve periodic visits to the institute and assisting PhD. students. ,Karachi,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,H.E.J Research Institute of Chemistry,Molecular Biology,,,,,
MS-001_1_3_5_36_P_0002,,MS-001,1,3,5,36,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter from Siddiqi to Atta-Ur-Rahman, with his response",28/09/1998,1998,11x8.5 inches,1p,"Siddiqi, Obaid",Letter from Siddiqi to Atta-ur-Rahman in which he talks about setting up of NCBS in Bangalore. He expresses his interest in developing a molecular biology program,Bangalore,Unrestricted,Archives at NCBS,Letter ,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,H.E.J Research Institute of Chemistry,Molecular Biology,,,,,
MS-001_1_3_5_8_0001-0005,,MS-001,1,3,5,8,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter From K Sankaranarayanan to Damodaran regarding Status report of NCBS, GMRT, HBCSE. ",13/10/1992,1992,11x8.5 inches,5p,"Sankaranarayanan, K","Letter from K Sankaranarayanan to K Damodaran, under secretary to the Govt. Of India, regarding the status reports of three projects - National Center for Biological Sciences, Giant Metrewave-length Radio Telescope, Homi Bhabha Center for Science Education. ",Mumbai,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,NCBS,GMRT,HBCSE,,,,
MS-001_1_3_6_24_P_0001,,MS-001,1,3,6,24,Siddiqi Papers - Correspondence ,Archives at NCBS,Invitation to be on the trust advisory committee of the Science awareness and Promotion trust,20/10/1999,1999,11x8.5 inches,1p,"Khan, Taqui",Letter from the Chairman of the Science Awareness and Promotion Trust inviting Siddiqi to be on the advisory committee of the trust. Khan specifies that it is a non-political and non-profit making social organisation working to bring scientific culture and awareness amongst the educationally and socially under-privileged of the country. ,Hyderabad,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,SAPT,Science awareness,Science Education,,,,
MS-001_1_3_7_20_0001-0002,,MS-001,1,3,7,20,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Siddiqi to K. VijayRaghavan requesting financial support,15/02/2000,2000,11x8.5 inches,2p,"Siddiqi, Obaid","Letter from Siddiqi to K VijayRaghavan requesting financial support from NCBS for the period 2001-2002. He wishes to recruit JRFs and post-doc students who intend to spend at least 2 or 3 years, in order to easily maintain continuity in projects. He requests financial support to maintain four permanent academic staff. ",Bangalore,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Financial support,,,,,,
MS-001_1_3_7_20_0009-0014,,MS-001,1,3,7,20,Siddiqi Papers - Correspondence ,Archives at NCBS,Handwritten project proposal on imaginal olfactory conditioning,2000,2000,11x8.5 inches,6p,"Siddiqi, Obaid","Handwritten proposal by Siddiqi on imaginal olfactory conditioning in Drosophila. It has details of the research his group works on, and their plan for further research and the financial requirements. He mentions that he wishes to have 2 scientific assistants on a long term contract.",Bangalore,Unrestricted,Archives at NCBS,Proposal ,"Handwritten, ink on paper",English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Imaginal olfactory conditioning,Olfaction,,,,,
MS-001_1_3_7_20_P_0037,,MS-001,1,3,7,20,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Siddiqi to Jayant Udgaonkar proposing dropping the project on shadowgraphy,22/05/2002,2002,11x8.5 inches,1p,"Siddiqi, Obaid",Letter from Siddiqi to Jayant Udgaonkar proposing to drop the shadowgraphy project in order to reduce the budget. ,Bangalore,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Financial support,,,,,,
MS-001_1_3_7_30_P_0001,,MS-001,1,3,7,30,Siddiqi Papers - Correspondence ,Archives at NCBS,Invitation for the Guido Pontecorvo remembrance event at ICRF,9/3/2000,2000,11x8.5 inches,1p,"Nurse, Paul",Letter from Paul Nurse to Siddiqi Inviting him to the meeting to celebrate Pontecorvo's life and contributions to science at ICRF. ,London,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,"Pontecorvo, G. ",,,,,,
MS-001_1_3_7_30_P_0003,,MS-001,1,3,7,30,Siddiqi Papers - Correspondence ,Archives at NCBS,Siddiqi's letter to Paul Nurse regarding cancellation of his participation,14/06/2000,2000,11x8.5 inches,1p,"Siddiqi, Obaid",Letter from Siddiqi to Paul Nurse regarding the cancellation of his trip due to unforeseen circumstances. ,Bangalore,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,"Pontecorvo, G. ",,,,,,
MS-001_1_3_7_31_P_0001,,MS-001,1,3,7,31,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Hanan Ali Chachan to Siddiqi requesting Mathematics papers from Siddiqi,20/03/2000,2000,8x10 inches,1p,"Chachan, Hanan Ali","Handwritten letter from Hanan Ali Chachan, an MSc student studying mathematics at the University of Mustansiriyah, Baghdad, Iraq, requesting Siddiqi to send papers and contacts of people who may be working in the area of his thesis. ","Baghdad, Iraq",Unrestricted,Archives at NCBS,Letter,"Handwritten, ink on paper",English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,"Siddiqi, Obaid","Chachan, Hasan Ali",,,,,
MS-001_1_3_7_31_P_0002,,MS-001,1,3,7,31,Siddiqi Papers - Correspondence ,Archives at NCBS,Siddiqi's response to Hanan Ali Chachan requesting mathematics papers from Siddiqi,26/05/2000,2000,11x8.5 inches,1p,"Siddiqi, Obaid","Siddiqi's reply to Hanan Ali Chachan, saying that he should contact M. S. Raghunathan, a professor of mathematics at TIFR. He says 'I am not a biologist' (probably a typing error). ",Bangalore,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,"Siddiqi, Obaid","Chachan, Hasan Ali",,,,,
MS-001_1_3_7_43_P_0002,,MS-001,1,3,7,43,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Michael Ashburner to Siddiqi regarding continuation of collaboration on olfactory genes in Drosophila,15/06/2000,2000,11x8.5 inches,1p,"Ashburner, Michael","Letter from Michael Ashburner to Siddiqi confirming their collaboration on Olfactory Genes in Drosophila. He mentions that with the completed genomic sequence of Drosophila, the collaboration promises to be interesting in the future. ",Cambridge,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,Olfaction ,Drosophila,Genome,,,,
MS-001_1_3_7_6_P_0001,,MS-001,1,3,7,6,Siddiqi Papers - Correspondence ,Archives at NCBS,Summary of WHO grant status,4/1/1999,1999,11x8.5 inches,1p,"Bhavsar, P. N.",Summary of the status of the WHO grant Siddiqi got in 1997. Shows expenditure details and balance for the two years. ,Mumbai,Unrestricted,Archives at NCBS,Letter,Printed page,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,WHO grant,,,,,,
